Timestamp,EEG Signal
13.774,1022.33
13.79,1022.33
13.807,1022.33
13.825,1021.67
13.841,1022
13.858,1022
13.874,1022.33
13.891,1022
13.907,1022.33
13.924,1022.33
13.941,1022.33
13.957,1022.33
13.975,1022.33
13.991,1022.33
14.006,1021.67
14.023,1021.67
14.04,1022
14.057,1022.33
14.074,1022.33
14.091,1022
14.108,1022
14.124,1022
14.142,1022
14.158,1022
14.175,1022
14.191,1022
14.207,1022
14.225,1022.33
14.241,1022.33
14.257,1022.33
14.275,1022
14.291,1022
14.308,1022.33
14.324,1022.67
14.341,1023
14.358,1023
14.375,1023
14.39,1022.67
14.408,1022.67
14.424,1022.67
14.441,1022.67
14.458,1022
14.475,1021.67
14.496,1021.67
14.508,1022
14.525,1022.33
14.541,1022.33
14.557,1022.33
14.574,1022
14.59,1022.33
14.607,1022.67
14.625,1022.67
14.641,1022
14.658,1021.67
14.674,1021.67
14.691,1022.33
14.708,1022.33
14.724,1022.67
14.741,1022.33
14.758,1022.67
14.774,1022.33
14.791,1022.67
14.807,1022.33
14.824,1022.67
14.841,1022.67
14.857,1022.67
14.874,1022.33
14.891,1021.67
14.908,1022
14.924,1022.33
14.942,1022.67
14.958,1022
14.974,1022
14.992,1022
15.007,1022.33
15.025,1021.67
15.041,1022
15.057,1022
15.074,1022.33
15.09,1022.33
15.107,1022.67
15.125,1023
15.141,1023
15.158,1022.67
15.175,1022.67
15.191,1022.33
15.207,1022
15.224,1022
15.241,1022.33
15.257,1022.67
15.275,1022.33
15.291,1022
15.307,1022.33
15.325,1022.67
15.34,1022.67
15.357,1022.33
15.375,1022
15.39,1022.33
15.408,1022.33
15.424,1022.33
15.442,1022
15.458,1022
15.475,1022
15.492,1022
15.508,1022
15.524,1022
15.54,1022
15.557,1022.33
15.574,1022.33
15.591,1022.33
15.608,1022.33
15.623,1022.33
15.642,1022.67
15.658,1022.33
15.674,1022.33
15.691,1022
15.708,1022.33
15.723,1022.67
15.74,1022.33
15.757,1022.33
15.775,1022
15.791,1022.33
15.808,1022.33
15.824,1022.67
15.841,1022.67
15.857,1022.33
15.874,1022.33
15.891,1022.33
15.907,1022
15.925,1022
15.948,1022
